variant,shock,lag,nobs,LM_stat,LM_pvalue,F_stat,F_pvalue,reject_H0,alpha
with_oil,World,4,149,4.26498673215971,0.371330017748901,0.993259038147756,0.413565791507164,0,0.05
with_oil,World,8,145,6.00771272579671,0.646367902980872,0.685395687319128,0.703743960801611,0,0.05
with_oil,World,12,141,7.59115404717809,0.816209128860711,0.52022279440072,0.898173097310416,0,0.05
with_oil,GPT,4,149,4.70731048565411,0.318668349242194,1.08885938265216,0.364650804234337,0,0.05
with_oil,GPT,8,145,5.99763673549961,0.647496623787009,0.681618184646168,0.707025442332495,0,0.05
with_oil,GPT,12,141,8.23216659830845,0.766734319008082,0.545710890112605,0.880530082311503,0,0.05
with_oil,GPA,4,149,2.4576864520609,0.652228376377294,0.564148617589636,0.68907660066466,0,0.05
with_oil,GPA,8,145,3.23151654142787,0.918999644498896,0.357551910031427,0.940776186822504,0,0.05
with_oil,GPA,12,141,7.80859185954503,0.79990369276585,0.566443692229511,0.865175115828781,0,0.05
without_oil,World,4,152,3.56418422246686,0.468186335952019,0.843247223546854,0.499985387121667,0,0.05
without_oil,World,8,148,4.02491835767933,0.854868264880032,0.464429676032527,0.879244596081318,0,0.05
without_oil,World,12,144,5.18510338299547,0.951508709454375,0.386994083079806,0.9661058227614,0,0.05
without_oil,GPT,4,152,4.52879302752667,0.339147011587094,1.07406967406153,0.371712860532575,0,0.05
without_oil,GPT,8,148,5.9597720730651,0.651738155891715,0.692014687159436,0.698029650911625,0,0.05
without_oil,GPT,12,144,7.47539805315446,0.824666915128633,0.569330676822964,0.863224331593735,0,0.05
without_oil,GPA,4,152,2.09320701981688,0.718620472528819,0.491323294243075,0.742104474997103,0,0.05
without_oil,GPA,8,148,3.17089424703223,0.923179507787724,0.36309593937792,0.938199829044203,0,0.05
without_oil,GPA,12,144,8.25001772908963,0.765299828818656,0.625517881640491,0.817250353910303,0,0.05
